label,family,selector_decision,consensus_score,train_exact_rate,heldout_exact_rate,min_exact_rate,harmonic_exact_rate,abs_transfer_gap,train_mean_prefix,heldout_mean_prefix,min_prefix,heldout_speedup,failure_density,risk
baseline_layers17,baseline,stable_reference,0.8338518059893855,1.0,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.08333333333333337,1.0,0.9171686746987951,0.9171686746987951,0.8316332412310589,0.05555555555555555,small_gap
full_v8,full_precision_probe,candidate_needs_third_split,0.7854634202533882,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8730158730158729,0.08333333333333326,0.9096385542168675,0.9171686746987951,0.9096385542168675,0.9426908802111623,0.1111111111111111,stable_or_improved
g0_1_2_4_5_6,rowguard,candidate_needs_third_split,0.691980600549962,0.8333333333333334,0.75,0.75,0.7894736842105262,0.08333333333333337,0.9612159329140462,0.7724872121705199,0.7724872121705199,0.9520117893825989,0.2222222222222222,small_gap
g0_1_2_4_5_6_7,rowguard,diagnostic_only_gap_sensitive,0.6758889111827407,1.0,0.75,0.75,0.8571428571428571,0.25,1.0,0.7724872121705199,0.7724872121705199,0.7947070238737436,0.16666666666666666,high_overfit
g0_1_2_3_4_5_6,rowguard,reject_for_now,0.6587941677632867,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.7719298245614035,0.25,0.8456740106236575,0.9171686746987951,0.8456740106236575,0.854590182038844,0.16666666666666666,stable_or_improved
g0_1_4_5_6_7,rowguard,reject_for_now,0.6334111450695518,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.7418361972480084,0.7777267544486564,0.7418361972480084,0.9146060448281181,0.3333333333333333,stable_or_improved
g0_1_3_4_5_6,rowguard,reject_for_now,0.5609928850760251,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6222222222222222,0.08333333333333326,0.7418361972480084,0.6948954291474515,0.6948954291474515,0.9597289648583357,0.3888888888888889,small_gap
g0_2_4_5_6_7,rowguard,reject_for_now,0.5402232710626576,0.5,0.8333333333333334,0.5,0.625,0.33333333333333337,0.8286057375312881,0.8553185374717247,0.8286057375312881,0.9793398525473268,0.2777777777777778,stable_or_improved
g0_2_3_4_5_6,rowguard,reject_for_now,0.5292010207673326,0.5,0.9166666666666666,0.5,0.6470588235294118,0.41666666666666663,0.7391166335744772,0.9171686746987951,0.7391166335744772,0.9720400095677079,0.2222222222222222,stable_or_improved
g0_3_4_5_6_7,rowguard,reject_for_now,0.5103637760410371,0.5,0.75,0.5,0.6,0.25,0.6262942749576199,0.8413468261332442,0.6262942749576199,0.9777972176683657,0.3333333333333333,stable_or_improved
