label,family,selector_decision,selector_score,total_pass_delta,min_accuracy_delta,mean_accuracy_delta,min_speedup,harmonic_speedup,max_ttft_ratio,v1_32_pass_delta,ifeval_v2_pass_delta,v1_32_speedup,ifeval_v2_speedup
vonly_layers17,v_only,conservative_candidate,0.9098838236333321,0,0.0,0.0,1.0141701997632544,1.04941911816666,0.930247683062943,0,0,1.0141701997632544,1.0872065169816547
full_qkv_layers17,full_qkv,reject_quality_regression,0.2840704887037315,-1,-0.125,-0.0625,0.9157263181383054,0.9709986521692632,1.4734016047828713,0,-1,0.9157263181383054,1.0333719607221743
vonly_layers1720,v_only,reject_quality_regression,0.25283580251843557,-1,-0.125,-0.0625,0.6902595113605108,0.7624844436100172,2.764155687184011,0,-1,0.6902595113605108,0.8515901168884457
