label,family,selector_decision,consensus_score,min_exact_rate,mean_exact_rate,harmonic_exact_rate,exact_span,min_prefix,mean_prefix,mean_speedup,failure_density,search_exact_rate,heldout_v1_exact_rate,heldout_v2_exact_rate,search_failures,heldout_v1_failures,heldout_v2_failures
baseline_layers17,baseline,stable_reference,0.8290050738656907,0.9166666666666666,0.9722222222222222,0.9705882352941176,0.08333333333333337,0.9171686746987951,0.9723895582329317,0.8807227597062895,0.03333333333333333,1.0,0.9166666666666666,1.0,[],[4],[]
full_v8,full_precision_probe,candidate_needs_larger_suite,0.7661436810716785,0.8333333333333334,0.9166666666666666,0.9116022099447514,0.16666666666666663,0.9096385542168675,0.9422690763052208,0.8757294715988161,0.06666666666666667,0.8333333333333334,0.9166666666666666,1.0,[0],[4],[]
g0_1_2_4_5_6,rowguard,candidate_needs_larger_suite,0.681848386303327,0.75,0.7777777777777778,0.7758620689655173,0.08333333333333337,0.7724872121705199,0.8483004827401336,0.9315846532832582,0.23333333333333334,0.8333333333333334,0.75,0.75,[1],"[4, 7, 8]","[0, 3, 8]"
g0_1_2_4_5_6_7,rowguard,candidate_needs_larger_suite,0.6761101341178294,0.75,0.8333333333333334,0.8181818181818183,0.25,0.7724872121705199,0.8673280993175072,0.877481385639734,0.2,1.0,0.75,0.75,[],"[4, 7, 8]","[0, 8, 11]"
g0_2_3_4_5_6,rowguard,reject_for_now,0.5201260505185064,0.5,0.7777777777777777,0.7173913043478262,0.41666666666666663,0.7391166335744772,0.8645377106549108,0.9690672600249747,0.16666666666666666,0.5,0.9166666666666666,0.9166666666666666,"[1, 3, 5]",[4],[3]
