batch,bits,block_k,block_m,block_n,cols,dense_full_ms,dense_selected_ms,high_rows,latency_ms,low_rows,model,module,ok,rel_l2_vs_dense_selected,rows,runtime,selected_rows,speedup_vs_dense_full,speedup_vs_dense_selected
64,4,,,,1024,0.017053187499982414,0.020733200000222496,0,0.017053187499982414,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense_full,16,1.0,1.2157961671531423
64,4,,,,1024,0.017053187499982414,0.020733200000222496,0,0.020733200000222496,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense_selected,16,0.8225062942430214,1.0
64,4,,,,1024,0.017053187499982414,0.020733200000222496,0,0.01682438750023607,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1551366150379181,2048,cached_selected,16,1.013599306348783,1.232330151687934
64,4,128,32,16,1024,0.017053187499982414,0.020733200000222496,0,0.04026486249983918,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.15513257682323456,2048,triton_selected,16,0.4235252883342275,0.5149204222491832
64,4,,,,1024,0.017053187499982414,0.019019187499935697,0,0.017053187499982414,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense_full,64,1.0,1.1152863650830855
64,4,,,,1024,0.017053187499982414,0.019019187499935697,0,0.019019187499935697,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense_selected,64,0.8966307051781297,1.0
64,4,,,,1024,0.017053187499982414,0.019019187499935697,0,0.023883312500316833,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1695345938205719,2048,cached_selected,64,0.7140210345510568,0.7963379242173124
64,4,128,32,16,1024,0.017053187499982414,0.019019187499935697,0,0.09265904999971042,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16953040659427643,2048,triton_selected,64,0.18404233045812265,0.20525990175805964
64,4,,,,1024,0.017053187499982414,0.013224037499881547,0,0.017053187499982414,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense_full,256,1.0,0.7754584003662179
64,4,,,,1024,0.017053187499982414,0.013224037499881547,0,0.013224037499881547,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense_selected,256,1.2895598261979495,1.0
