batch,bits,block_k,block_m,block_n,cols,dense_full_ms,dense_selected_ms,high_rows,latency_ms,low_rows,model,module,ok,rel_l2_vs_dense_selected,rows,selected_rows,speedup_vs_dense_full,speedup_vs_dense_selected
1,4,64,16,8,1024,0.018158800000023234,0.01854627500001982,0,0.11429714999984242,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.18223318457603455,2048,64,0.15887360271055115,0.1622636697419436
1,4,64,16,16,1024,0.018158800000023234,0.01854627500001982,0,0.1705334249999524,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.18223318457603455,2048,64,0.10648235089413295,0.10875448610748888
1,4,64,32,8,1024,0.018158800000023234,0.01854627500001982,0,0.17062887500003399,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.18223318457603455,2048,64,0.10642278453760899,0.10869364871576469
1,4,64,32,16,1024,0.018158800000023234,0.01854627500001982,0,0.1801013750000635,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.18223318457603455,2048,64,0.10082543789583412,0.10297686511284702
1,4,128,32,16,1024,0.018158800000023234,0.01854627500001982,0,0.04110295000003816,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.18223318457603455,2048,64,0.4417882414767401,0.45121518041898695
1,4,128,64,16,1024,0.018158800000023234,0.01854627500001982,0,0.041337400000074354,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.18223318457603455,2048,64,0.4392825867130147,0.44865605964541694
1,4,64,16,8,1024,0.018158800000023234,0.013985849999897937,0,0.04449114999989234,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1432361602783203,2048,256,0.40814409157927306,0.31435128109594335
1,4,64,16,16,1024,0.018158800000023234,0.013985849999897937,0,0.0427538500000324,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1432361602783203,2048,256,0.42472900101416533,0.3271249255888613
1,4,64,32,8,1024,0.018158800000023234,0.013985849999897937,0,0.041620674999975904,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1432361602783203,2048,256,0.4362927799713423,0.33603131135922315
1,4,64,32,16,1024,0.018158800000023234,0.013985849999897937,0,0.04516564999992312,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1432361602783203,2048,256,0.40204890220896067,0.3096567856307115
1,4,128,32,16,1024,0.018158800000023234,0.013985849999897937,0,0.05850679999994668,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1432361602783203,2048,256,0.3103707603225571,0.2390465723627114
1,4,128,64,16,1024,0.018158800000023234,0.013985849999897937,0,0.1564108000000175,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1432361602783203,2048,256,0.11609684241766682,0.08941741874535755
12,4,64,16,8,1024,0.016026975000116295,0.08672447499993297,0,0.04571245000004609,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.17135502398014069,2048,64,0.350604157075373,1.8971740740180307
12,4,64,16,16,1024,0.016026975000116295,0.08672447499993297,0,0.1636829000000617,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.17135502398014069,2048,64,0.09791477912543249,0.5298322243795796
12,4,64,32,8,1024,0.016026975000116295,0.08672447499993297,0,0.05757427499997192,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.17135502398014069,2048,64,0.2783704180404202,1.5063059847470988
12,4,64,32,16,1024,0.016026975000116295,0.08672447499993297,0,0.1641948499999657,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.17135502398014069,2048,64,0.09760948653456332,0.5281802382958484
12,4,128,32,16,1024,0.016026975000116295,0.08672447499993297,0,0.17757932499993245,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.17135502398014069,2048,64,0.09025248294035576,0.488370338157136
12,4,128,64,16,1024,0.016026975000116295,0.08672447499993297,0,0.04327282499989593,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.17135502398014069,2048,64,0.3703704345661472,2.004132501174618
12,4,64,16,8,1024,0.016026975000116295,0.034981299999969906,0,0.04489917499999052,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16354767978191376,2048,256,0.35695477701137446,0.7791078566583304
12,4,64,16,16,1024,0.016026975000116295,0.034981299999969906,0,0.04206677499993816,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16354767978191376,2048,256,0.38098891584011024,0.8315660042877384
12,4,64,32,8,1024,0.016026975000116295,0.034981299999969906,0,0.0437128999999814,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16354767978191376,2048,256,0.3666417693660936,0.8002511844326226
12,4,64,32,16,1024,0.016026975000116295,0.034981299999969906,0,0.04444755000001521,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16354767978191376,2048,256,0.36058174185328123,0.787024256679118
12,4,128,32,16,1024,0.016026975000116295,0.034981299999969906,0,0.04457679999987363,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16354767978191376,2048,256,0.3595362385851324,0.7847422874694701
12,4,128,64,16,1024,0.016026975000116295,0.034981299999969906,0,0.042141250000149455,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16354767978191376,2048,256,0.3803156052575435,0.8300964019777735
1,4,64,16,8,1024,0.017524625000042704,0.01279137499992089,0,0.043450775000053454,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19075624644756317,1024,64,0.40332134467155406,0.2943877295607536
1,4,64,16,16,1024,0.017524625000042704,0.01279137499992089,0,0.04322079999994344,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19075624644756317,1024,64,0.4054673907022924,0.2959541470758901
1,4,64,32,8,1024,0.017524625000042704,0.01279137499992089,0,0.041518075000013255,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19075624644756317,1024,64,0.4220962797537484,0.3080917166780205
1,4,64,32,16,1024,0.017524625000042704,0.01279137499992089,0,0.04019429999999602,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19075624644756317,1024,64,0.4359977658534777,0.3182385313321082
1,4,128,32,16,1024,0.017524625000042704,0.01279137499992089,0,0.04137607500016571,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19075624644756317,1024,64,0.4235448867485018,0.3091490674228926
1,4,128,64,16,1024,0.017524625000042704,0.01279137499992089,0,0.04131442500003857,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19075624644756317,1024,64,0.4241769067347868,0.30961038426430837
1,4,64,16,8,1024,0.017524625000042704,0.014488575000015658,0,0.04253552499999813,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1460667848587036,1024,256,0.4119997343407299,0.34062292636605035
1,4,64,16,16,1024,0.017524625000042704,0.014488575000015658,0,0.04706515000005851,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1460667848587036,1024,256,0.3723482236861227,0.3078408333979101
1,4,64,32,8,1024,0.017524625000042704,0.014488575000015658,0,0.038902100000015594,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1460667848587036,1024,256,0.45048017973414495,0.37243683502972463
1,4,64,32,16,1024,0.017524625000042704,0.014488575000015658,0,0.04361379999995307,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1460667848587036,1024,256,0.40181376078354925,0.3322016196715546
1,4,128,32,16,1024,0.017524625000042704,0.014488575000015658,0,0.043627600000029076,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1460667848587036,1024,256,0.40168666165526007,0.3320965398052151
1,4,128,64,16,1024,0.017524625000042704,0.014488575000015658,0,0.04252600000000939,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1460667848587036,1024,256,0.4120920142980491,0.3406992193014264
12,4,64,16,8,1024,0.016474625000029164,0.014536175000046114,0,0.04313942499987178,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1703139692544937,1024,64,0.38189254956639157,0.33695801462558483
12,4,64,16,16,1024,0.016474625000029164,0.014536175000046114,0,0.049719175000007,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1703139692544937,1024,64,0.33135354719837656,0.2923655712317042
