label,family,selector_decision,consensus_score,proxy_penalty,proxy_augmented_score,min_exact_rate,exact_span,final_hidden_rel_l2_mean,last_logits_rel_l2_mean,kv_mean_rel_l2_mean,kv_max_rel_l2_mean
baseline_layers17,baseline,stable_reference,0.8290050738656907,0.0,0.871753805399268,0.9166666666666666,0.08333333333333337,0.003705349257372537,0.003827428565650689,0.007134991146759254,0.013253630708122549
full_v8,full_precision_probe,candidate_needs_larger_suite,0.7661436810716785,0.12930363120610708,0.7922818530022321,0.8333333333333334,0.16666666666666663,0.0053219965734304766,0.006759290158017989,0.009602624581594124,0.019435643940913554
g0_1_2_4_5_6_7,rowguard,candidate_needs_larger_suite,0.6761101341178294,0.6176402877122169,0.6026725286603178,0.75,0.25,0.009189231935291066,0.015243889836716836,0.021925880271124222,0.09337517807809413
g0_1_2_4_5_6,rowguard,candidate_needs_larger_suite,0.681848386303327,0.9106264049785024,0.5337296884828696,0.75,0.08333333333333337,0.011246442080635681,0.020943535124087906,0.029306892745502813,0.13766125292436568
g0_2_3_4_5_6,rowguard,reject_for_now,0.5201260505185064,0.9664605163384998,0.3984794088042548,0.5,0.41666666666666663,0.01130123135535206,0.018647273619027103,0.033857800686242674,0.16496670056880486
