batch,block_k,block_m,block_n,cols,dense_full_concat_ms,dense_selected_concat_ms,high_rows_total,latency_ms,layer,low_rows_total,model,module_count,modules,ok,rel_l2_vs_dense_selected_concat,rel_l2_vs_triton_separate,runtime,selected_rows_per_module,selected_rows_total,speedup_vs_dense_full_concat,speedup_vs_dense_selected_concat,speedup_vs_triton_separate,suffixes,triton_separate_selected_ms
1,64,32,16,1024,0.043456337500202835,0.013426412500194829,256,0.14883843749942116,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12311893701553345,,triton_separate_selected,256,768,0.29196985825903904,0.0902079645941395,1.0,"['q_proj', 'k_proj', 'v_proj']",0.14883843749942116
1,64,32,16,1024,0.043456337500202835,0.013426412500194829,256,0.07851099999953703,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12311893701553345,0.0,triton_fused_selected,256,768,0.5535063558031242,0.17101313828984477,1.8957654023041208,"['q_proj', 'k_proj', 'v_proj']",0.14883843749942116
12,64,32,16,1024,0.018742174999886174,0.021339474999848562,16,0.018742174999886174,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,16,48,1.0,1.1385805009278893,14.877484870413046,"['q_proj', 'k_proj', 'v_proj']",0.27883642499944017
12,64,32,16,1024,0.018742174999886174,0.021339474999848562,16,0.021339474999848562,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,16,48,0.8782866026469339,1.0,13.066695642766232,"['q_proj', 'k_proj', 'v_proj']",0.27883642499944017
12,64,32,16,1024,0.018742174999886174,0.021339474999848562,16,0.016317800000109628,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12853161990642548,,cached_selected_concat,16,48,1.1485724178357535,1.3077421588513891,17.08786876892515,"['q_proj', 'k_proj', 'v_proj']",0.27883642499944017
12,64,32,16,1024,0.018742174999886174,0.021339474999848562,16,0.27883642499944017,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12853161990642548,,triton_separate_selected,16,48,0.06721566237238841,0.07653044253415388,1.0,"['q_proj', 'k_proj', 'v_proj']",0.27883642499944017
12,64,32,16,1024,0.018742174999886174,0.021339474999848562,16,0.0827491875000419,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12853161990642548,0.0,triton_fused_selected,16,48,0.22649376466538337,0.2578813840297557,3.369657557052134,"['q_proj', 'k_proj', 'v_proj']",0.27883642499944017
12,64,32,16,1024,0.018742174999886174,0.020349587499879362,64,0.018742174999886174,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,64,192,1.0,1.0857644590343944,8.947169952295782,"['q_proj', 'k_proj', 'v_proj']",0.16768942499965078
12,64,32,16,1024,0.018742174999886174,0.020349587499879362,64,0.020349587499879362,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,64,192,0.9210100696142997,1.0,8.240433620614908,"['q_proj', 'k_proj', 'v_proj']",0.16768942499965078
12,64,32,16,1024,0.018742174999886174,0.020349587499879362,64,0.01909282500065501,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.1424390971660614,,cached_selected_concat,64,192,0.9816344621208853,1.0658238107342017,8.782850363626018,"['q_proj', 'k_proj', 'v_proj']",0.16768942499965078
