dataset,model,prompt_count,max_length,dtype,config,mode,ppl,mean_nll,delta_nll_vs_fp16,ppl_ratio_vs_fp16,tokens,bit_hist,allocation,method
WikiText2-128,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,128,128,float16,fp16,fp16,13.129024796065291,2.574825412598624,0.0,1.0,14234,"{""16"": 197}",,
WikiText2-128,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,128,128,float16,uniform_int4,uniform_int4,17.499622544694677,2.862179311822267,0.2873538992236431,1.332895840819741,14234,"{""4"": 197}",,
WikiText2-128,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,128,128,float16,uniform_int3,uniform_int3,232.6215173549799,5.449412743780943,2.8745873311823193,17.718110900719413,14234,"{""3"": 197}",,
WikiText2-128,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,128,128,float16,loss_sensitive_4to8_2p,allocation,16.650277726772735,2.812426896573989,0.2376014839753653,1.2682036926126263,14234,"{""4"": 137, ""8"": 60}",outputs/qwen25_1p5b_loss_sensitive_alloc_4to8_limit2_group128_summary.json,loss_sensitive_4to8
WikiText2-128,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,128,128,float16,loss_sensitive_4to8_8p,allocation,16.078072235078793,2.7774563706857496,0.20263095808712572,1.2246204485726402,14234,"{""4"": 136, ""8"": 61}",outputs/qwen25_1p5b_loss_sensitive_alloc_4to8_limit8_group128_summary.json,loss_sensitive_4to8
WikiText2-128,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,128,128,float16,loss_sensitive_consensus_4to8,allocation,16.13559757259916,2.7810278606160197,0.20620244801739585,1.2290019878273766,14234,"{""4"": 132, ""8"": 65}",outputs/qwen25_1p5b_loss_sensitive_consensus_alloc_4to8_group128_summary.json,loss_sensitive_consensus_4to8
