dataset,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
Qwen3-0.6B-WikiText2-64,31.180806,49.789549,39.005312,42.191664,41.905894,random_seed_20260609,44.059606,46.399179,16,10.784237,2.900583,5.054294
Qwen3-0.6B-C4-64,36.138003,52.935160,45.062307,47.718245,47.166644,cpp_random_budget,48.534563,50.026808,16,7.872852,2.104337,3.472255
