dataset,target_name,target_ppl,seed_count,wins,losses,ties,win_rate,best_seed_name,best_seed_ppl,seed_mean_ppl,worst_seed_ppl,margin_vs_best_seed,margin_vs_seed_mean
wikitext2_64_len96,wikitext_c4_consensus,45.655854,15,15,0,0,1.000000,random_seed_20260609,48.502996,50.478744,52.634741,2.847142,4.822890
c4_64,wikitext_c4_consensus,44.928968,15,15,0,0,1.000000,random_seed_20260609,48.384037,49.442750,50.797110,3.455069,4.513782
