dataset,model,prompt_count,max_length,dtype,config,mode,ppl,mean_nll,delta_nll_vs_fp16,ppl_ratio_vs_fp16,tokens,bit_hist,allocation,method
wikitext2_64_len96,Qwen/Qwen3-0.6B,64,96,float16,fp16,fp16,33.98650563871633,3.5259635528543654,0.0,1.0,5686,"{""16"": 197}",,
wikitext2_64_len96,Qwen/Qwen3-0.6B,64,96,float16,uniform_int4,uniform_int4,54.654160803363276,4.001025347193068,0.475061794338703,1.6081135667299382,5686,"{""4"": 197}",,
wikitext2_64_len96,Qwen/Qwen3-0.6B,64,96,float16,uniform_int3,uniform_int3,951.6108333456809,6.858156162712132,3.3321926098577666,27.99966679309439,5686,"{""3"": 197}",,
wikitext2_64_len96,Qwen/Qwen3-0.6B,64,96,float16,allocation_loss_sensitive_4to8,allocation,49.53523839426337,3.9026843030562586,0.3767207502018932,1.457497246725901,5686,"{""4"": 153, ""8"": 44}",outputs/qwen3_0p6b_loss_sensitive_alloc_4to8_limit4_group128_summary.json,loss_sensitive_4to8
c4_64,Qwen/Qwen3-0.6B,64,128,float16,fp16,fp16,36.138003190515846,3.5873450315766418,0.0,1.0,7375,"{""16"": 197}",,
c4_64,Qwen/Qwen3-0.6B,64,128,float16,uniform_int4,uniform_int4,52.93515957849015,3.9690677604028735,0.3817227288262317,1.4648058803753328,7375,"{""4"": 197}",,
c4_64,Qwen/Qwen3-0.6B,64,128,float16,uniform_int3,uniform_int3,832.2634082252257,6.724148987139686,3.1368039555630443,23.03014374750089,7375,"{""3"": 197}",,
c4_64,Qwen/Qwen3-0.6B,64,128,float16,allocation_loss_sensitive_4to8,allocation,47.58717946149839,3.862563385914948,0.27521835433830644,1.316818176439458,7375,"{""4"": 153, ""8"": 44}",outputs/qwen3_0p6b_loss_sensitive_alloc_4to8_limit4_group128_summary.json,loss_sensitive_4to8
