dataset,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
Qwen3-1.7B-WikiText2-64,21.655224,31.188522,26.325957,27.483801,27.668480,random_budget_seed_20260619,28.290525,29.968161,16,4.862565,1.342523,1.964568
Qwen3-1.7B-C4-64,25.550963,30.740999,28.330317,29.275997,28.456214,random_budget_seed_20260612,29.435654,30.040802,16,2.410682,0.125897,1.105338
