label,pair,intersection,union,jaccard,left_high,right_high,consensus_high,consensus_avg_bits,consensus_budget_used
OLMo2-0425-1B-WikiText2-C4,left/right,6,37,0.162162,23,20,26,4.498361,0.999636
OLMo2-0425-1B-WikiText2-C4,left/consensus,18,31,0.580645,23,20,26,4.498361,0.999636
OLMo2-0425-1B-WikiText2-C4,right/consensus,14,32,0.437500,23,20,26,4.498361,0.999636
