dataset,target_name,target_ppl,seed_count,wins,losses,ties,win_rate,best_seed_name,best_seed_ppl,seed_mean_ppl,worst_seed_ppl,margin_vs_best_seed,margin_vs_seed_mean
wikitext2_64_len96,cpp_loss_sensitive_budget,49.535238,15,12,3,0,0.800000,random_seed_20260609,48.502996,50.478744,52.634741,-1.032243,0.943505
c4_64,cpp_loss_sensitive_budget,47.587179,15,15,0,0,1.000000,random_seed_20260609,48.384037,49.442750,50.797110,0.796857,1.855570
