dataset,target_name,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
wikitext2_64_len96,wikitext_c4_consensus,33.986506,54.654161,45.655854,50.474606,48.502996,random_seed_20260609,50.498477,52.634741,16,8.998307,2.847142,4.842623
c4_64,wikitext_c4_consensus,36.138003,52.935160,44.928968,48.622161,48.384037,random_seed_20260609,49.462897,50.797110,16,8.006192,3.455069,4.533929
