dataset,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
OLMo2-0425-1B-WikiText2-64,18.857286,22.488793,21.034884,21.628094,21.463670,random_seed_20260610,21.614001,21.755038,8,1.453910,0.428787,0.579117
OLMo2-0425-1B-C4-64,32.273629,36.833415,35.472635,36.049332,35.851166,cpp_random_budget,36.033429,36.383675,8,1.360779,0.378531,0.560793
