dataset,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
Qwen3-1.7B-WikiText2-64,21.655224,31.188522,27.657818,27.483801,27.668480,random_budget_seed_20260619,28.290525,29.968161,16,3.530704,0.010662,0.632707
Qwen3-1.7B-C4-64,25.550963,30.740999,29.202951,29.275997,28.456214,random_budget_seed_20260612,29.435654,30.040802,16,1.538048,-0.746737,0.232703
