dataset,target_name,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
wikitext2_64_len96,cpp_loss_sensitive_budget,33.986506,54.654161,49.535238,50.474606,48.502996,random_seed_20260609,50.498477,52.634741,16,5.118922,-1.032243,0.963238
c4_64,cpp_loss_sensitive_budget,36.138003,52.935160,47.587179,48.622161,48.384037,random_seed_20260609,49.462897,50.797110,16,5.347980,0.796857,1.875717
