label,returncode,killed,max_memory_mib,memory_total_mib,max_memory_ratio,max_utilization_pct,status
qwen3_sensitivity,0,false,3310,8151,0.406085,59,pass
qwen3_default8_eval,0,false,3147,8151,0.386088,36,pass
qwen3_c4_eval,0,false,3177,8151,0.389768,56,pass
qwen3_wikitext2_64_true_guard_fail,-15,true,6933,8151,0.850570,100,fail
