dataset,fp16,uniform_int4,base,target,improvement,guard_status,max_memory_ratio
wikitext2_128,13.217144,18.796586,15.364061,15.312701,0.051359,pass,0.736719
c4_64,18.449740,26.347506,21.426924,21.435625,-0.008701,pass,0.723960
